Year,Expenditure_schoolbus,No_of_buses,Employees_in_ interurban_and_rural_bus_transportation,Employees_in_school_and_employee_bus_transportation,Employees_in_charter_bus_industry,Total_vehicle_miles_all_buses,Total_rural_highway_miles,Total_interstate_rural_miles,Total_other_arterial_rural_miles,Total_other_rural_miles,Total_urban_highway_miles,Total_interstate_urban,Total_other_urban,Passenger_miles_all_buses,Average_miles_traveled_per_vehicle,Fuel_consumed_million_gallons,Average_fuel_consumption_per_vehicle_gallons,Average_miles_traveled_per_gallon_of_fuel_consumed,Safety_school_bus_related,Safety_school_bus_occupants,Safety_other_occupants,Safety_other_nonoccupants,Occupant_fatalities_all_buses,Fatal_school_buses,Fatal_cross_country_buses,Fatal_transit_buses,Fatal_other_and_unknown,Fatalities_vehicular_accidents_all_buses,Occupant_fatal_per_100_million_vehicle_miles,Occupant_fatal_per_10000_registered_vehicles,Vehicle_fatal_per_100_million_vehicle_miles,Vehicle_fatal_per_10000_registered_vehicles
1960,486.338,27.2129,38200,0,0,434600,2332,0,0, -   ," 2,014 ", -   , -   , -   ," 15,970 ", 827 ," 3,039 ",5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1218.557,37.7562,40900,0,0,454400,2549,339,944," 1,266 "," 1,995 ", 277 ," 1,718 ", -   ," 12,035 ", 820 ," 2,172 ",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,3833.145,52.8789,35800,81400,14800,605900,3035,533,991," 1,511 "," 3,024 ", 560 ," 2,464 ", -   ," 11,458 "," 1,018 "," 1,925 ",6,150,9,88,53,47,14,23,7,3,329,0.8,0.9,6.4,7.4
1990,8030.9904,62.6987,24600,114200,26100,572700,3444,567,995," 1,882 "," 2,283 ", 455 ," 1,828 "," 12,139,800 "," 9,133 ", 895 ," 1,427 ",6.4,115,11,64,40,32,13,2,3,14,286,0.6,0.5,5.9,5.4
1995,9889.0336,68.5503,22500,135500,29200,642000,3854,711,1171," 1,972 "," 2,566 ", 580 ," 1,986 "," 13,610,400 "," 9,365 ", 968 ," 1,412 ",6.6,123,13,72,38,33,12,6,1,14,271,0.5,0.5,4.8,4.5
1996,10396.4255,69.4781,22500,136900,31000,653500,3933,742,1186," 2,005 "," 2,602 ", 599 ," 2,003 "," 13,861,300 "," 9,386 ", 985 ," 1,414 ",6.6,136,10,101,25,21,10,3,5,3,324,0.3,0.3,5.6,5.3
1997,10989.8089,69.7548,21000,141500,32000,684200,4109,794,1243," 2,072 "," 2,733 ", 647 ," 2,086 "," 14,506,000 "," 9,809 "," 1,027 "," 1,472 ",6.7,131,10,97,24,18,8,5,3,2,295,0.3,0.3,5,4.9
1998,11465.6581,71.554,23000,146200,33900,700700,4251,834,1282," 2,135 "," 2,756 ", 663 ," 2,093 "," 14,855,820 "," 9,793 "," 1,040 "," 1,454 ",6.7,128,6,91,31,38,6,13,2,17,288,0.5,0.5,4.7,4.6
1999,12224.4544,72.8777,22500,151400,36100,766200,4667,971,1375," 2,321 "," 2,995 ", 752 ," 2,243 "," 16,244,520 "," 10,515 "," 1,148 "," 1,576 ",6.7,167,10,127,30,59,8,32,6,13,313,0.8,0.8,4.9,5.2
2000,13007.6255,74.6125,23400,152000,38200,759000,4489,978,1270," 2,241 "," 3,101 ", 791 ," 2,310 "," 16,091,860 "," 10,173 "," 1,112 "," 1,490 ",6.8,147,21,99,27,22,16,3,1,2,323,0.3,0.3,3.8,3.9
2001,14052.6542,74.9548,23600,153000,36800,706970,4158,951,1133," 2,074 "," 2,911 ", 775 ," 2,136 "," 15,004,230 "," 9,432 "," 1,026 "," 1,369 ",6.9,141,18,95,28,34,16,3,4,11,289,0.5,0.5,3.1,2.9
2002,14799.3655,76.0717,22800,161100,35500,684500,3941,943,1104," 1,894 "," 2,904 ", 803 ," 2,101 "," 14,512,360 "," 8,998 "," 1,000 "," 1,314 ",6.8,129,3,100,26,45,2,20,6,17,274,0.7,0.6,5,4.5
2003,15648.8207,77.655,21900,164800,33200,678160,3805,994.3,1001.2," 1,809 "," 2,977 ", 943 ," 2,034 "," 14,380,100 "," 8,733 ", 969 ," 1,248 ",7,140,11,100,29,41,7,3,12,19,288,0.6,0.5,4.3,3.7
2004,16348.7836,79.5274,20820,188120,33670,680100,3691,999,992," 1,700 "," 3,110 ", 986 ," 2,124 "," 14,418,800 "," 8,552 "," 1,360 "," 1,710 ",5,133,7,93,33,42,7,23,2,10,276,0.6,0.5,4.1,3.5
2005,17459.6588,80.7053,20320,188820,33230,698000,3667,946,973," 1,748 "," 3,313 "," 1,062 "," 2,251 "," 14,799,200 "," 8,649 "," 1,120 "," 1,388 ",6,134,10,87,37,58,8,33,3,14,278,0.8,0.7,4,3.5
2006,18850.2339,82.1959,18440,185270,32060,678300,3521,950,959," 1,612 "," 3,263 "," 1,024 "," 2,239 "," 14,381,600 "," 8,253 "," 1,148 "," 1,397 ",6,150,8,119,23,27,6,8,1,12,303,0.4,0.3,4.5,3.7
2007,19979.068,83.4436,18750,188900,32040,1451600,6207,1810,2284," 2,113 "," 8,308 "," 2,089 "," 6,219 "," 30,775,300 "," 17,396 "," 2,022 "," 2,423 ",7,142,5,112,25,36,3,19,5,9,280,0.2,0.4,1.9,3.4
2008,21536.9779,84.3308,18420,196280,33650,1482300,6317,2057,2141," 2,119 "," 8,506 "," 2,131 "," 6,376 "," 31,427,800 "," 17,578 "," 2,057 "," 2,439 ",7,152,19,104,29,67,14,38,6,9,251,0.5,0.8,1.7,3
2009,21679.8756,84.1993,18390,198420,32950,1438700,6217,1603,2075," 2,540 "," 8,170 "," 2,171 "," 5,999 "," 30,501,400 "," 17,087 "," 1,987 "," 2,360 ",7,118,5,91,22,26,3,9,0,14,221,0.2,0.3,1.5,2.6
